Death No.,Name,Allegiance,Killer,Killers House,Method,Location,Season,Episode,Death Year,Death Book,Death Chapter,Estimated Book Death Season,Estimated Book Death Episode,Nobility,Gender,Killer Gender,Killer Nobility,In Book,Is Animal,KillerIsAnimal,GoT,CoK,SoS,FfC,DwD
1781,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1782,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1783,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1784,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,1,1,1,1
1785,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,1,0,0
1786,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1787,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1788,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1789,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1790,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1791,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1792,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1793,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1794,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1795,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1796,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1797,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1798,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,King's Landing,8,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
452,Meereen slave,None,Daario Naharis,House Targaryen,Arakh,Meereen,5,2,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
549,Sons of the Harpy agent,Sons of the Harpy,Daario Naharis,House Targaryen,Arakh,Meereen,5,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
554,Sons of the Harpy agent,Sons of the Harpy,Daario Naharis,House Targaryen,Arakh,Meereen,5,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
556,Sons of the Harpy agent,Sons of the Harpy,Daario Naharis,House Targaryen,Arakh,Meereen,5,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
569,Sons of the Harpy agent,Sons of the Harpy,Daario Naharis,House Targaryen,Arakh,Meereen,5,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
571,Sons of the Harpy agent,Sons of the Harpy,Daario Naharis,House Targaryen,Arakh,Meereen,5,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
592,Sons of the Harpy agent,Sons of the Harpy,Daario Naharis,House Targaryen,Arakh,Meereen,5,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
677,Sons of the Harpy agent,Sons of the Harpy,Daario Naharis,House Targaryen,Arakh,Meereen,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
229,Yunkai soldier,Wise Masters,Daario Naharis,House Targaryen,Arakh,Yunkai,3,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
231,Yunkai soldier,Wise Masters,Daario Naharis,House Targaryen,Arakh,Yunkai,3,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
233,Yunkai soldier,Wise Masters,Daario Naharis,House Targaryen,Arakh,Yunkai,3,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
234,Yunkai soldier,Wise Masters,Daario Naharis,House Targaryen,Arakh,Yunkai,3,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
235,Yunkai soldier,Wise Masters,Daario Naharis,House Targaryen,Arakh,Yunkai,3,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
238,Yunkai soldier,Wise Masters,Daario Naharis,House Targaryen,Arakh,Yunkai,3,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
155,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Bronn,House Lannister,Arrow,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
179,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Arrow,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
180,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Arrow,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
429,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Wildling,Free Folk,Arrow,Beyond the Wall,4,10,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0
144,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Arrow,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
145,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Arrow,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
162,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Arrow,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
163,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Arrow,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
191,Bolton soldier,House Bolton,Ramsay Bolton,House Bolton,Arrow,Dreadfort,3,3,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
192,Bolton soldier,House Bolton,Ramsay Bolton,House Bolton,Arrow,Dreadfort,3,3,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
193,Bolton soldier,House Bolton,Ramsay Bolton,House Bolton,Arrow,Dreadfort,3,3,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
194,Bolton soldier,House Bolton,Ramsay Bolton,House Bolton,Arrow,Dreadfort,3,3,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
696,Bolton soldier,House Bolton,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
698,Bolton soldier,House Bolton,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
778,Bolton soldier,House Bolton,Stark Soldier,House Stark,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
782,Bolton soldier,House Bolton,Stark Soldier,House Stark,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
784,Bolton soldier,House Bolton,Stark Soldier,House Stark,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
785,Bolton soldier,House Bolton,Stark Soldier,House Stark,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
786,Bolton soldier,House Bolton,Stark Soldier,House Stark,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
787,Bolton soldier,House Bolton,Stark Soldier,House Stark,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
788,Bolton soldier,House Bolton,Stark Soldier,House Stark,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
789,Bolton soldier,House Bolton,Stark Soldier,House Stark,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
790,Bolton soldier,House Bolton,Stark Soldier,House Stark,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
791,Bolton soldier,House Bolton,Stark Soldier,House Stark,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
792,Bolton soldier,House Bolton,Stark Soldier,House Stark,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
286,Dontos Hollard,None,Baelish soldier,House Baelish,Arrow,King's Landing,4,3,300,3,61,4,3,1,1,1,0,1,0,0,0,0,0,0,0
1144,Dothraki man,House Targaryen,Lannister soldier,House Lannister,Arrow,Roseroad,7,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1145,Dothraki man,House Targaryen,Lannister soldier,House Lannister,Arrow,Roseroad,7,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
262,Grey Wind,Animal,Frey soldier,House Frey,Arrow,The Twins,3,9,-1,-1,-1,-1,-1,0,2,1,0,0,1,0,0,0,0,0,0
1333,Greyjoy Soldier,House Greyjoy,Theon Greyjoy,House Greyjoy,Arrow,The Narrow Sea,8,1,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
1334,Greyjoy Soldier,House Greyjoy,Theon Greyjoy,House Greyjoy,Arrow,The Narrow Sea,8,1,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
1335,Greyjoy Soldier,House Greyjoy,Theon Greyjoy,House Greyjoy,Arrow,The Narrow Sea,8,1,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
1336,Greyjoy Soldier,House Greyjoy,Theon Greyjoy,House Greyjoy,Arrow,The Narrow Sea,8,1,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
1337,Greyjoy Soldier,House Greyjoy,Theon Greyjoy,House Greyjoy,Arrow,The Narrow Sea,8,1,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
287,Guymon,Smallfolk,Ygritte,Free Folk,Arrow,The Gift,4,3,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0
223,Horse breeder,Night's Watch,Ygritte,Free Folk,Arrow,The Gift,3,9,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0
1142,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arrow,Roseroad,7,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1143,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arrow,Roseroad,7,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
445,Mance Rayder,Free Folk,Jon Snow,Night's Watch,Arrow,Castle Black,5,1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,0,0
349,Night's Watch brother,Night's Watch,Wildling,Free Folk,Arrow,Castle Black,4,9,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0
350,Night's Watch brother,Night's Watch,Wildling,Free Folk,Arrow,Castle Black,4,9,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0
369,Night's Watch brother,Night's Watch,Ygritte,Free Folk,Arrow,Castle Black,4,9,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0
370,Night's Watch brother,Night's Watch,Ygritte,Free Folk,Arrow,Castle Black,4,9,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0
371,Night's Watch brother,Night's Watch,Ygritte,Free Folk,Arrow,Castle Black,4,9,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0
377,Pypar,Night's Watch,Ygritte,Free Folk,Arrow,Castle Black,4,9,-1,-1,-1,-1,-1,0,1,0,0,1,0,0,0,0,0,0,0
692,Rickon Stark,House Stark,Ramsay Bolton,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,0,0,0,0,0
216,Ros,House Baelish,Joffrey Baratheon,House Lannister,Arrow,King's Landing,3,6,-1,-1,-1,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0
241,Stark soldier,House Stark,Frey soldier,House Frey,Arrow,The Twins,3,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
243,Stark soldier,House Stark,Frey soldier,House Frey,Arrow,The Twins,3,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
244,Stark soldier,House Stark,Frey soldier,House Frey,Arrow,The Twins,3,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
246,Stark soldier,House Stark,Frey soldier,House Frey,Arrow,The Twins,3,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
697,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
701,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,1,1,1,0,1
702,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
703,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,1,0,0,0,0
706,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,1,0,1,0,0
708,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,1,0,1,0,0
711,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
713,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,1,0,1,0
714,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
715,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
716,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
717,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
718,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
719,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
723,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
724,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
725,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
726,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
727,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
729,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
730,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
731,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
732,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
733,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
777,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
779,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
780,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
781,Stark Soldier,House Stark,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
31,Stiv,Free Folk,Theon Greyjoy,House Bolton,Arrow,Winterfell,1,6,298,1,37,1,6,0,1,1,1,1,0,0,0,0,0,0,0
387,Thenn raider,Free Folk,Sam Tarly,Night's Watch,Arrow,Castle Black,4,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
443,Tywin Lannister,House Lannister,Tyrion Lannister,House Lannister,Arrow,King's Landing,4,10,300,3,77,4,4,1,1,1,1,1,0,0,0,0,0,0,0
1083,Unsullied Soldier,House Targaryen,Lannister soldier,House Lannister,Arrow,Casterly Rock,7,3,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1084,Unsullied Soldier,House Targaryen,Lannister soldier,House Lannister,Arrow,Casterly Rock,7,3,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1085,Unsullied Soldier,House Targaryen,Lannister soldier,House Lannister,Arrow,Casterly Rock,7,3,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1086,Unsullied Soldier,House Targaryen,Lannister soldier,House Lannister,Arrow,Casterly Rock,7,3,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1088,Unsullied Soldier,House Targaryen,Lannister soldier,House Lannister,Arrow,Casterly Rock,7,3,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1089,Unsullied Soldier,House Targaryen,Lannister soldier,House Lannister,Arrow,Casterly Rock,7,3,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1090,Unsullied Soldier,House Targaryen,Lannister soldier,House Lannister,Arrow,Casterly Rock,7,3,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
83,Wildling,Free Folk,Night's Watch brother,Night's Watch,Arrow,Beyond the Wall,2,6,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0
364,Wildling,Free Folk,Night's Watch brother,Night's Watch,Arrow,Castle Black,4,9,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0
376,Wildling,Free Folk,Pypar,Night's Watch,Arrow,Castle Black,4,9,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0
783,Wildling,Free Folk,Bolton soldier,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
794,Wun Wun,Free Folk,Ramsay Bolton,House Bolton,Arrow,Winterfell,6,9,-1,-1,-1,-1,-1,0,1,1,1,1,0,0,0,0,0,0,0
415,Ygritte,Free Folk,Olly,Night's Watch,Arrow,Castle Black,4,9,299,3,55,4,9,0,0,1,0,1,0,0,0,0,0,0,0
164,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Tyrion Lannister,House Lannister,Axe,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
146,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Axe,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
147,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Axe,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
148,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Axe,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
153,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Axe,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
314,Bolton soldier,House Bolton,Yara Greyjoy,House Greyjoy,Axe,Dreadfort,4,6,-1,-1,-1,-1,-1,0,1,0,1,0,0,0,0,0,0,0,0
318,Bolton soldier,House Bolton,Yara Greyjoy,House Greyjoy,Axe,Dreadfort,4,6,-1,-1,-1,-1,-1,0,1,0,1,0,0,0,0,0,0,0,0
319,Bolton soldier,House Bolton,Yara Greyjoy,House Greyjoy,Axe,Dreadfort,4,6,-1,-1,-1,-1,-1,0,1,0,1,0,0,0,0,0,0,0,0
655,Brotherhood Without Banners Member,Brotherhood Without Banners,"Sandor ""the Hound"" Clegane",House Clegane,Axe,Riverlands,6,8,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
656,Brotherhood Without Banners Member,Brotherhood Without Banners,"Sandor ""the Hound"" Clegane",House Clegane,Axe,Riverlands,6,8,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
657,Brotherhood Without Banners Member,Brotherhood Without Banners,"Sandor ""the Hound"" Clegane",House Clegane,Axe,Riverlands,6,8,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
658,Brotherhood Without Banners Member,Brotherhood Without Banners,"Sandor ""the Hound"" Clegane",House Clegane,Axe,Riverlands,6,8,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
646,Child of the Forest,Children of the Forest,Wight,White Walkers,Axe,Beyond the Wall,6,5,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0
1053,Greyjoy Soldier,House Greyjoy,Euron Greyjoy,House Greyjoy,Axe,The Narrow Sea,7,2,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0
1055,Greyjoy Soldier,House Greyjoy,Greyjoy Soldier,House Greyjoy,Axe,The Narrow Sea,7,2,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1056,Greyjoy Soldier,House Greyjoy,Greyjoy Soldier,House Greyjoy,Axe,The Narrow Sea,7,2,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
