Death No.,Killed_chord,Name,Allegiance,Killer_chord,Killer,Killers House,Method,Location,Season,Episode,Death Year,Death Book,Death Chapter,Estimated Book Death Season,Estimated Book Death Episode,Nobility,Gender,Killer Gender,Killer Nobility,In Book,Is Animal,KillerIsAnimal,GoT,CoK,SoS,FfC,DwD,LocationX,LocationY
48,Others,Jafer Flowers,None,Night's Watch,Night's Watch brother,Night's Watch,Fire,Castle Black,1,8,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,422,233
49,Dothrakis,Mago,Dothraki,Dothrakis,Khal Drogo,Dothraki,Hands,Lhazar,1,8,-1,-1,-1,-1,-1,0,1,1,0,1,0,0,1,0,0,0,0,1663,1302
50,Animals,Horse,Animal,Others,Mirri Maz Duur,None,Knife,Red Waste,1,9,-1,-1,-1,-1,-1,0,-1,0,0,0,1,0,0,0,0,0,0,1778,1413
51,Dothrakis,Qotho,Dothraki,Jorah Mormont,Jorah Mormont,House Targaryen,Sword,Red Waste,1,9,298,1,61,1,8,0,1,1,1,1,0,0,1,0,0,0,0,1778,1413
52,Other Starks,Stark soldier,House Stark,Others,Hill tribesman,None,Hammer,Unknown,1,9,-1,-1,-1,1,-1,0,1,1,0,0,0,0,0,0,0,0,0,-1,-1
53,Other Starks,Stark soldier,House Stark,Others,Hill tribesman,None,Sword,Unknown,1,9,-1,-1,-1,1,-1,0,1,1,0,0,0,0,0,0,0,0,0,-1,-1
54,Animals,Pigeon,Animal,Arya Stark,Arya Stark,House Stark,Hands,King's Landing,1,9,-1,-1,-1,1,-1,0,-1,0,1,0,1,0,0,0,0,0,0,440,1050
55,Ned Stark,Ned Stark,House Stark,Ilyn Payne,Ilyn Payne,House Payne,Sword,King's Landing,1,9,299,1,65,1,10,1,1,1,1,1,0,0,1,0,0,0,0,440,1050
56,Dothrakis,Rhaego,Dothraki,Others,Mirri Maz Duur,None,Magic,Red Waste,1,10,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,1778,1413
57,Dothrakis,Khal Drogo,Dothraki,Daenerys Targaryen,Daenerys Targaryen,House Targaryen,Pillow,Red Waste,1,10,298,1,64,1,10,1,1,0,1,1,0,0,1,0,0,0,0,1778,1413
58,Others,Mirri Maz Duur,None,Daenerys Targaryen,Daenerys Targaryen,House Targaryen,Fire,Red Waste,1,10,299,1,72,1,10,0,0,0,1,1,0,0,1,0,0,0,0,1778,1413
59,Others,Knight,None,The Hound,The Hound,House Lannister,Mace,King's Landing,2,1,-1,-1,-1,1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
60,Other Targaryens,The Silver,House Targaryen,Others,None,None,Starvation,Red Waste,2,1,-1,-1,-1,1,-1,0,1,-1,-1,0,0,0,0,0,0,0,0,1778,1413
61,Other Baratheons of Dragonstone,Maester Cressen,House Baratheon of Dragonstone,Melisandre of Asshai,Melisandre of Asshai,Lord of Light,Poison,Dragonstone,2,1,-1,-1,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,573,977
62,Smallfolk,Barra (Baratheon illegitimate son),Smallfolk,Night's Watch,Janos Slynt,Night's Watch,Knife,King's Landing,2,1,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
63,Smallfolk,Robert Baratheon's illegitimate son,Smallfolk,Other Lannisters,City watch guard,House Lannister,Knife,King's Landing,2,1,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
64,Smallfolk,Robert Baratheon's illegitimate son,Smallfolk,Other Lannisters,City watch guard,House Lannister,Water,King's Landing,2,1,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
65,Smallfolk,Robert Baratheon's illegitimate son,Smallfolk,Other Lannisters,City watch guard,House Lannister,Unknown,King's Landing,2,1,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
66,Other Targaryens,Rakharo,House Targaryen,Dothrakis,Rival Dothraki,Dothraki,Unknown,Red Waste,2,2,-1,-1,-1,-1,-1,0,1,1,0,1,0,0,1,1,1,0,1,1778,1413
67,Other Lannisters,Lannister soldier,House Lannister,Yoren,Yoren,Night's Watch,Sword,Riverlands,2,3,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,302,810
68,Other Lannisters,Lannister soldier,House Lannister,Yoren,Yoren,Night's Watch,Sword,Riverlands,2,3,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,302,810
69,Other Lannisters,Lannister soldier,House Lannister,Yoren,Yoren,Night's Watch,Sword,Riverlands,2,3,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,302,810
70,Other Lannisters,Lannister soldier,House Lannister,Yoren,Yoren,Night's Watch,Sword,Riverlands,2,3,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,302,810
71,Other Lannisters,Lannister soldier,House Lannister,Yoren,Yoren,Night's Watch,Sword,Riverlands,2,3,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,302,810
72,Yoren,Yoren,Night's Watch,Other Lannisters,Amory Lorch,House Lannister,Sword,Riverlands,2,3,299,2,19,2,2,0,1,1,1,1,0,0,1,1,0,0,0,302,810
73,Night's Watch,Night's Watch recruit,Night's Watch,Other Lannisters,Lannister soldier,House Lannister,Spear,Riverlands,2,3,-1,-1,-1,1,-1,0,1,1,0,0,0,0,0,0,0,0,0,302,810
74,Smallfolk,Lommy Greenhands,Smallfolk,Other Baratheons of King's Landing,Polliver,House Baratheon of King's Landing,Sword,Riverlands,2,3,-1,-1,-1,1,-1,0,1,1,0,0,0,0,0,0,0,0,0,302,810
75,Other Lannisters,Rennick,House Lannister,Animals,Grey Wind,Animal,Teeth,Oxcross,2,4,-1,-1,-1,1,-1,0,1,-1,-1,0,0,1,0,0,0,0,0,185,919
76,Other Lannisters,Lannister soldier,House Lannister,Animals,Grey Wind,Animal,Teeth,Oxcross,2,4,-1,-1,-1,1,-1,0,1,-1,-1,0,0,1,0,0,0,0,0,185,919
77,Others,Prisoner,None,The Tickler,The Tickler,House Clegane,Rat,Harrenhal,2,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,381,928
78,Baratheons of Storm's End,Renly Baratheon,House Baratheon of Storm's End,Melisandre of Asshai,Melisandre of Asshai,Lord of Light,Shadow Demon,Storm's End,2,5,299,2,33,2,5,1,1,0,0,1,0,0,1,1,0,0,0,507,1170
79,Baratheons of Storm's End,Baratheon of Storm's End guard,House Baratheon of Storm's End,Brienne of Tarth,Brienne of Tarth,House Tarth,Sword,Storm's End,2,5,-1,-1,-1,1,-1,0,1,0,1,0,0,0,0,0,0,0,0,507,1170
80,Baratheons of Storm's End,Baratheon of Storm's End guard,House Baratheon of Storm's End,Brienne of Tarth,Brienne of Tarth,House Tarth,Sword,Storm's End,2,5,-1,-1,-1,1,-1,0,1,0,1,0,0,0,0,0,0,0,0,507,1170
81,The Tickler,The Tickler,House Clegane,Jaqen H'ghar,Jaqen H'ghar,Faceless Men,Unknown,Harrenhal,2,5,-1,-1,-1,1,-1,0,1,1,0,0,0,0,0,0,0,0,0,381,928
82,Rodrik Cassel,Rodrik Cassel,House Stark,Theon Greyjoy,Theon Greyjoy,House Bolton,Sword,Winterfell,2,6,299,2,66,2,10,1,1,1,1,1,0,0,1,1,0,0,0,283,447
83,Wildlings,Wildling,Free Folk,Night's Watch,Night's Watch brother,Night's Watch,Arrow,Beyond the Wall,2,6,-1,-1,-1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,302,155
84,Wildlings,Wildling,Free Folk,Night's Watch,Qhorin Halfhand,Night's Watch,Sword,Beyond the Wall,2,6,-1,-1,-1,-1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,302,155
85,Faith of the Seven,High Septon,Faith of the Seven,Others,Peasant,None,Hands,King's Landing,2,6,-1,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,440,1050
86,Smallfolk,Peasant,Smallfolk,The Hound,The Hound,House Lannister,Sword,King's Landing,2,6,-1,-1,-1,-1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,440,1050
87,Smallfolk,Peasant,Smallfolk,The Hound,The Hound,House Lannister,Sword,King's Landing,2,6,-1,-1,-1,-1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,440,1050
88,Smallfolk,Peasant,Smallfolk,The Hound,The Hound,House Lannister,Knife,King's Landing,2,6,-1,-1,-1,-1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,440,1050
89,Smallfolk,Peasant,Smallfolk,The Hound,The Hound,House Lannister,Knife,King's Landing,2,6,-1,-1,-1,-1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,440,1050
90,Smallfolk,Peasant,Smallfolk,The Hound,The Hound,House Lannister,Knife,King's Landing,2,6,-1,-1,-1,-1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,440,1050
91,Other Lannisters,Amory Lorch,House Lannister,Jaqen H'ghar,Jaqen H'ghar,Faceless Men,Poison,Harrenhal,2,6,299,2,47,2,8,1,1,1,0,1,0,0,0,1,0,0,0,381,928
92,Other Greyjoys,Drennan,House Greyjoy,Other Starks,Osha,House Stark,Knife,Winterfell,2,6,299,2,50,2,6,0,1,0,0,1,0,0,0,1,0,0,0,283,447
93,Other Targaryens,Irri,House Targaryen,Others,Unknown,Unknown,Unknown,Qarth,2,6,-1,-1,-1,-1,-1,0,0,-1,-1,1,0,0,1,1,1,0,1,1876,1583
94,Other Lannisters,Alton Lannister,House Lannister,Jaime Lannister,Jaime Lannister,House Lannister,Hands,Robb Stark's camp,2,7,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,265,876
95,Other Starks,Torrhen Karstark,House Stark,Jaime Lannister,Jaime Lannister,House Lannister,Hands,Robb Stark's camp,2,7,298,1,63,1,9,1,1,1,1,1,0,0,1,0,0,0,0,265,876
96,The Thirteen,The Spice King,The Thirteen,Pyat Pree,Pyat Pree,Warlocks of Qarth,Knife,Qarth,2,7,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1876,1583
97,The Thirteen,The Silk King,The Thirteen,Pyat Pree,Pyat Pree,Warlocks of Qarth,Knife,Qarth,2,7,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1876,1583
98,The Thirteen,The Copper King,The Thirteen,Pyat Pree,Pyat Pree,Warlocks of Qarth,Knife,Qarth,2,7,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1876,1583
99,The Thirteen,Member of the Thirteen,The Thirteen,Pyat Pree,Pyat Pree,Warlocks of Qarth,Knife,Qarth,2,7,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1876,1583
100,The Thirteen,Member of the Thirteen,The Thirteen,Pyat Pree,Pyat Pree,Warlocks of Qarth,Knife,Qarth,2,7,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1876,1583
101,The Thirteen,Member of the Thirteen,The Thirteen,Pyat Pree,Pyat Pree,Warlocks of Qarth,Knife,Qarth,2,7,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1876,1583
102,The Thirteen,Member of the Thirteen,The Thirteen,Pyat Pree,Pyat Pree,Warlocks of Qarth,Knife,Qarth,2,7,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1876,1583
103,The Thirteen,Member of the Thirteen,The Thirteen,Pyat Pree,Pyat Pree,Warlocks of Qarth,Knife,Qarth,2,7,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1876,1583
104,The Thirteen,Member of the Thirteen,The Thirteen,Pyat Pree,Pyat Pree,Warlocks of Qarth,Knife,Qarth,2,7,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1876,1583
105,The Thirteen,Member of the Thirteen,The Thirteen,Pyat Pree,Pyat Pree,Warlocks of Qarth,Knife,Qarth,2,7,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1876,1583
106,The Thirteen,Member of the Thirteen,The Thirteen,Pyat Pree,Pyat Pree,Warlocks of Qarth,Knife,Qarth,2,7,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1876,1583
107,Smallfolk,Billy,Smallfolk,Theon Greyjoy,Theon Greyjoy,House Bolton,Fire,Winterfell,2,7,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,283,447
108,Smallfolk,Jack,Smallfolk,Theon Greyjoy,Theon Greyjoy,House Bolton,Fire,Winterfell,2,7,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,283,447
109,Other Baratheons of Dragonstone,Matthos Seaworth,House Baratheon of Dragonstone,Bronn,Bronn,House Lannister,Wildfire,King's Landing,2,9,299,2,58,2,9,1,1,1,1,1,0,0,0,1,0,0,0,440,1050
110,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Bronn,Bronn,House Lannister,Wildfire,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
111,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Bronn,Bronn,House Lannister,Wildfire,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
112,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Bronn,Bronn,House Lannister,Wildfire,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
113,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Bronn,Bronn,House Lannister,Wildfire,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
114,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Bronn,Bronn,House Lannister,Wildfire,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
115,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Bronn,Bronn,House Lannister,Wildfire,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
116,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Bronn,Bronn,House Lannister,Wildfire,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
117,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Bronn,Bronn,House Lannister,Wildfire,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
118,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Bronn,Bronn,House Lannister,Wildfire,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
119,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Bronn,Bronn,House Lannister,Wildfire,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
120,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Other Baratheons of King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Blunt object,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,-1,-1,0,0,0,0,0,0,0,0,440,1050
121,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Bronn,Bronn,House Lannister,Wildfire,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
122,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Bronn,Bronn,House Lannister,Wildfire,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
123,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Other Baratheons of King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Arrow,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
124,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Other Baratheons of King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Arrow,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
125,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Other Baratheons of King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Arrow,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
126,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Other Baratheons of King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Arrow,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
127,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Other Baratheons of King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Arrow,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
128,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Other Baratheons of King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Arrow,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
129,Other Baratheons of Dragonstone,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Other Baratheons of King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Arrow,King's Landing,2,9,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
